epsg,lat,long,object,number
4326,51.9359382,7.6513085,Friedenssee,1
4326,51.9360430,7.6515693,Friedenssee,2
4326,51.9362547,7.6517828,Friedenssee,3
4326,51.9363313,7.6519439,Friedenssee,4
4326,51.9363427,7.6521155,Friedenssee,5
4326,51.9363173,7.6523200,Friedenssee,6
4326,51.9362809,7.6524671,Friedenssee,7
4326,51.9362918,7.6525871,Friedenssee,8
4326,51.9363192,7.6526924,Friedenssee,9
4326,51.9363709,7.6527872,Friedenssee,10
4326,51.9364571,7.6528816,Friedenssee,11
4326,51.9366072,7.6529448,Friedenssee,12
4326,51.9367551,7.6529293,Friedenssee,13
4326,51.9368879,7.6529176,Friedenssee,14
4326,51.9370215,7.6530323,Friedenssee,15
4326,51.9370811,7.6532516,Friedenssee,16
4326,51.9371534,7.6533074,Friedenssee,17
4326,51.9372051,7.6534278,Friedenssee,18
4326,51.9372495,7.6536632,Friedenssee,19
4326,51.9373297,7.6537690,Friedenssee,20
4326,51.9373642,7.6538524,Friedenssee,21
4326,51.9373750,7.6539026,Friedenssee,22
4326,51.9373118,7.6538840,Friedenssee,23
4326,51.9372620,7.6539432,Friedenssee,24
4326,51.9371880,7.6539838,Friedenssee,25
4326,51.9371211,7.6539779,Friedenssee,26
4326,51.9370567,7.6540338,Friedenssee,27
4326,51.9368287,7.6539184,Friedenssee,28
4326,51.9366532,7.6539303,Friedenssee,29
4326,51.9365362,7.6538504,Friedenssee,30
4326,51.9364752,7.6536706,Friedenssee,31
4326,51.9363843,7.6534975,Friedenssee,32
4326,51.9362246,7.6532967,Friedenssee,33
4326,51.9360816,7.6531093,Friedenssee,34
4326,51.9359878,7.6527817,Friedenssee,35
4326,51.9359493,7.6525448,Friedenssee,36
4326,51.9358799,7.6524344,Friedenssee,37
4326,51.9356416,7.6522916,Friedenssee,38
4326,51.9355569,7.6521494,Friedenssee,39
4326,51.9355357,7.6520591,Friedenssee,40
4326,51.9355319,7.6516789,Friedenssee,41
4326,51.9354194,7.6513153,Friedenssee,42
4326,51.9354294,7.6511335,Friedenssee,43
4326,51.9355222,7.6509656,Friedenssee,44
4326,51.9356649,7.6508759,Friedenssee,45
4326,51.9357380,7.6508973,Friedenssee,46
4326,51.9358275,7.6510251,Friedenssee,47
4326,51.9358704,7.6511354,Friedenssee,48
